User,Tweet
Senator Rand Paul,"I appreciate all the best wishes I have received. I have been retested and I am negative. I have started volunteering at a local hospital to assist those in my community who are in need of medical help, including Coronavirus patients. Together we will overcome this! https://t.co/9SeypT7rL6"
Liz Lemon,"Hoy se cumplen ocho días desde que me tomaron la prueba para coronavirus (estoy en Popayán). Es el tiempo que, me dijeron, tardarían en llegar los resultados. Aún no sé nada. Quisiera, además, contarles otros detalles de lo que ha sido este proceso 👇"
Hugo López-Gatell Ramírez,"Ya está disponible para iOS la aplicación COVID-19MX. A través de esta herramienta la @SSalud_mx orienta sobre síntomas de #coronavirus, evita saturación en hospitales y permite que grupos de riesgo tengan prioridad en la atención médica. Descárgala en: https://t.co/R7Vu4noZLB. https://t.co/xxRihLY6iM"
Kyle Cheney,"NEWS: President Trump has upended the federal panel overseeing the $2 trillion coronavirus law -- removing the Pentagon inspector general who was supposed to oversee it and naming a new acting replacement.

Story w @connorobrienNH coming."
Gilberto Tobón Sanín,"El coronavirus, ha afinado los dotes de presentador de tv del bailarín.
No hay confinamientos inteligentes. Lo q pensaba era ceder a las presiones de los grandes capitalistas que sólo piensan en sus propios intereses. 
¿Cuántas más prórrogas habrá q hacer? Rta.¡Las necesarias!"
Rep. Eric Swalwell,"New Zealand lost 55 of its people in a matter of seconds to an assault weapon. So, NZ banned them. In the US, a lack of leadership has contributed to 10,000 dead from #coronavirus. So, NZ issues national shelter-in-place.” NZ continues to show the world how to lead in a crisis. https://t.co/BuW33H82BU"
Sen. Marsha Blackburn,China must pay for damages caused by the coronavirus. It’s standing within international organizations should also be re-examined.
SenatorMurtaza Wahab,"Pakistan’s got its 1st #COVIDー19 patient on 26th February. We got our 1000th patient in 29 days. The 2000th patient in 7 days, 3000th patient in 5 days &amp; probably the 4000th patient in 3 days. This is how serious the situation is. Pakistaniyo plz wake up before its too late"
Norbert Elekes,"Coronavirus outbreak, New York:

   April 7:  138,836 cases
   April 2:    92,381 cases
March 28:  52,318 cases
March 23: 20,875 cases
March 18: 2,382 cases
March 13:   421 cases
March 8:   105 cases
March 3:     2 cases"
Trump War Room - Text TRUMP to 88022,"After her 76-year-old father tested positive for the coronavirus, a Pennsylvania woman decided to have him try the anti-malaria drug showing promise as a possible treatment.

She first heard about hydroxychloroquine from President Trump.

Now her father is improving! https://t.co/ojsltgcEl6"
Tony Posnanski,"Congrats to Kayleigh McEnany for becoming the new WH Press Secretary and beating out...

- Scott Baio
- Diamond and Silk
- A 50 gallon Hefty bag full of shit
- Tomi Lahren
- A bedazzled Swastika
- Coronavirus
- Ted Nugent
- Three MAGA hats dipped in urine
- An AR-15

CONGRATS!"
BCharts,"É aquele famoso ditado, God's timing is always right: Ministro da Saúde de Israel, que afirmou que o Coronavírus era uma ""punição divina aos homossexuais"", testa positivo para a doença. https://t.co/hGq8fE78Az https://t.co/awyvcp7lNv"
Kaivan Shroff,"Trump just picked Kayleigh McEnany as his new Press Secretary. 

Here she is on Fox News, Feb. 25th — lying to the American people already:

“We will not see diseases like Coronavirus come here.”

Fox News is now being sued for intentionally spreading false info about COVID-19. https://t.co/d7fgGFrlkL"
Joan Canadell,La Cambra de Comerç vol mantenir el confinament total fins que es facin tests de covid-19 a tots els treballadors https://t.co/57UL1g70Xf
Juan Carlos Girauta,"Propongo recopilación por aquí de noticias falsas difundidas por el gobierno Sánchez y relacionadas con el coronavirus.
#BulosGubernamentales"
Sam Stein,"Schumer says on a conference call that election integrity will be a high priority of Phase 4 legislation, alongside a heroes fund to increase pay for essential workers on the coronavirus frontlines"
Subramanian Swamy,Israeli coronavirus mapping technology to assist Indian authorities https://t.co/ArJurTRZ6K
Molly Jong-Fast🏡,Will @kayleighmcenany tell us where the millions of coronavirus tests are now?
Breitbart News,"CDC Director Dr. Robert Redfield predicts the death toll from the coronavirus will be ""much, much, much lower"" than models have projected. https://t.co/lxzIQZd4mY"
Kenneth P. Vogel,"FLASHBACK: Newly named WH @PressSec @kayleighmcenany, back on Feb. 25: “We will not see diseases like the coronavirus come here, we will not see terrorism come here, &amp; isn’t that refreshing when contrasting it with the awful presidency of President Obama?” https://t.co/s0Fh5iZyYD"
Aaron Blake,"The new White House press secretary, Kayleigh McEnany, said this about coronavirus on Feb. 25:

""We will not see diseases like the coronavirus come here ... and isn't it refreshing when contrasting it with the awful presidency of President Obama."""
Kyle Griffin,"McEnany on Feb. 25: ""This President will always put America first ... We will not see diseases like the Coronavirus come here, we will not see terrorism come here, and isn't that refreshing when contrasting it with the awful Presidency of President Obama."" https://t.co/daZ8kEP5IN"
General Heleno,"Gostaria que o Dr. David Uip, chefe do combate ao coronavírus em SP, viesse a público informar se utilizou ou não hidroxicloroquina e azitromicina no seu tratamento, durante os estágios iniciais da doença."
Parker Molloy,One of the big reasons I think a lot of conservative commentators argued that they thought media was overhyping the coronavirus was that it's exactly the type of thing *they* would do in an election year to frame a Democratic president as incompetent.
Twitter,"Over the past few weeks, there have been more than 6 million questions Tweeted about coronavirus/COVID-19. For #WorldHealthDay, we partnered with the @WHO to provide answers to some of your most asked questions. 

See the answers👇"
Michael Calderone,What new White House press secretary Kayleigh McEnany was saying about coronavirus in Feb https://t.co/md0P0XO5Gd
Travis Akers,"On February 25th, Kayleigh McEnany said, ""We will not see diseases like the coronavirus come here.""

Today, she was named the new White House Press Secretary."
Brian Klaas,"“We will not see diseases like the coronavirus come here.”

—Kayleigh McEnany, Feb. 25 https://t.co/1CYbuF1MlP"
Luis del Pino,"¡Pobre Pedro Sánchez! A perro flaco, todo son  pulgas. Como a los progres americanos les interesa centrar las culpas en las negligencias de Trump, han decidido resaltar cómo las negligencias de Sánchez contribuyeron a que la epidemia derivara en catástrofe
https://t.co/Ja5nsASoYX"
Catturd ™,"CDC Director: Coronavirus Death Toll Will Be ‘Much, Much, Much Lower’ than Projected. 

No shit - you mean like me and everyone else with common sense have been saying for weeks. 

Time to end this nonsense and put Americans back to work."
KKMPutrajaya,"Statistik terbaru WHO menunjukkan wabak pandemik #COVID19 di Amerika Syarikat dan negara-negara Eropah khususnya Itali, Sepanyol dan Perancis lebih buruk berbanding asal wabak itu, China. 

Pengalisis antarabangsa jangka AS hadapi situasi paling sukar kerana kurang persediaan. https://t.co/KOT6fArS0W"
Bia Kicis,Vídeo claríssimo de @realDonaldTrump . Nós não temos tempo o/ esperar os laboratórios dizerem que o medicamento é ok p/ o coronavírus. As pessoas estão morrendo agora e quem usa está se salvando. https://t.co/RthVBjTTRk
Elizabeth Warren,What's happening in Wisconsin is a travesty. Elections are the backbone of our democracy – and Americans must be able to participate without risking their lives. Congress must act immediately to ensure all our elections can proceed safely &amp; securely: https://t.co/Vzb42rXbZg
zellie,Illinois Mayor Sends Police To Break Up Parties. They Found His Wife At One Of Them. https://t.co/LXoUy1rsJL
Conflits,"🇫🇷 URGENT - Jean-Marie Le Pen (@lepenjm) est infecté par le #coronavirus. Souffrant de problèmes respiratoires, il a été admis en réanimation depuis ce matin. Jean-Marie Le Pen a 91 ans. (proches de la famille)"
Fray Josepho,"🔴¡¡ATENCIÓN #BULO!!🔴
🔴¡MUCHO OJO!🔴

Circulan por las redes mensajes en el sentido de que EL GOBIERNO LO HACE BIEN Y que NO SE PODÍA SABER el peligro del #COVID19.

POR FAVOR, si te llegan estos mensajes DENÚNCIALOS y NO DIFUNDAS.

Ayudándote a ti nos ayudas a todos.

#GRACIAS"
Chiraag Bains,"Two-thirds of #Wisconsin’s black voters live in Milwaukee. That city has shut down 97% of its polling locations. Meanwhile, 81% of the people who have died from #COVID19 in the city are black, though black people are 26% of its pop.

This is a racial justice crisis."
Debra Messing✍🏻,#BREAKING Peter Navarro memos warning of mass coronavirus death circulated West Wing in JANUARY - Axios 🔥STOP WHAT YOU ARE DOING AND READ THIS NOW!🔥 https://t.co/yfdG5s5Rfi
JORGE RAMOS,"Le preguntan a @HLGatell en esta entrevista en inglés cuántos son los casos reales de coronavirus en México y dice que “no los tienen todavía” (debido al modelo de cálculo que usan). Creo q la respuesta requiere una aclaración. ¿Cuántos en verdad hay? 

https://t.co/W26zay1WbQ"
Ari Berman,"Milwaukee has 16% of state's population but half the coronavirus cases in state

As a result, city was able to open only 5 polling places, instead of usual 180, for population of 600,000

This is what happens when GOP refuses to send ballots to every voter https://t.co/funuh4QfDX"
Jonathan Chait,Excellent master narrative on Trump's responsibility for failing to contain the coronavirus by @davidfrum https://t.co/yM3lvNY3re
David Corn,"US deaths: 10,980
South Korea deaths: 192

Per capita, the US #coronavirus death rate is about 9x the South Korea death rate. 

Ask @realDonaldTrump if this is his definition of winning."
