User,Date,Tweet,Binders,Permalink,Retweet count,Likes count,Tweet value
Lalinkrin,11.03.20 11:16,ถ้าบริษัท/องค์กร ยังเฉย ไม่เข้มงวดกับการตรวจและบังคับอย่างจริงจัง ฉิบหายแน่นอนค่ะ ความฉิบหายบังเกิดแก่บริษัทท่านแน่นอน เวลาป่วยมันป่วยกันเป็นสายเลยจ้าาา ได้พักยาวไปจ้าทั้ง พนง.ทั้งเจ้าของ #COVID19 #โควิท19 https://t.co/dZEr7xiWey,,https://www.twitter.com/user/status/1237699015526907904,24633,2007,0.04
KKMPutrajaya,11.03.20 11:16,"Situasi terkini #COVID19 di Malaysia. 

20 kes baru menjadikan 149 kes dengan 26 kes sembuh dan discaj. 

Dua kes dirawat di ICU tetapi stabil. https://t.co/B44ZmzoxRe",,https://www.twitter.com/user/status/1237698883628630016,2816,1656,736.16
John Solomon,11.03.20 11:14,Was Trump right about China? The Coronavirus has exposed global supply chain failures and the challenges of America’s dependence on Beijing for everything from drugs to hospital gowns. https://t.co/YvkZ2NEbaX,,https://www.twitter.com/user/status/1237698455147106304,4912,10780,874.26
Alan Friedman,11.03.20 11:08,#coronavirus  So che non tutti saranno d’accordo ma a questo punto devo dire che il governo italiano si sta comportando in modo molto più serio e responsabile del governo degli Stati Uniti.,,https://www.twitter.com/user/status/1237696852390285313,2015,13546,71.21
Giuseppe Conte,11.03.20 10:59,"Il Consiglio dei Ministri ha approvato lo stanziamento straordinario di 25 miliardi di euro per far fronte alle difficoltà che il Paese sta vivendo a causa del #coronavirus. Stiamo facendo tutto ciò che è necessario, con ogni strumento a disposizione. Insieme ce la faremo",,https://www.twitter.com/user/status/1237694727203454976,2839,16486,896.9
Primo Anderson,11.03.20 10:57,CORONAVIRUS SAID: STONKS https://t.co/JX9OO4T5M6,,https://www.twitter.com/user/status/1237694013278425088,2171,6260,26.97
🇫🇷 The Boss 🇫🇷,11.03.20 10:56,เมื่อลูกชายเพื่อนกลับจากอิตาลี แล้วเพื่อนดัดแปลงรถไปรับลูกและทำห้องให้ลูกกักตัว #COVID19 👍😊 https://t.co/lUvuSB3siB,,https://www.twitter.com/user/status/1237693802107662336,4693,1293,7.6
Arthur,11.03.20 10:55,"[CORONAVIRUS] J'ai passé quelques heures à compiler les chiffres du coronavirus hier soir. J'étais surpris notamment par le décalage entre la situation française, où les mesures prises sont minimales, et la situation italienne. Ce que j'ai découvert n'est pas jojo. THREAD",,https://www.twitter.com/user/status/1237693562994778112,7717,17244,5.56
Joëlle Garriaud-Maylam,11.03.20 10:54,"Coronavirus : l'Italie, débordée par l’amplification de l’épidémie (L’insuffisance d’appareils respiratoires a par ex de graves conséquences) appelle à l’aide la Chine. Une vraie claque pour l’UE incapable apparemment d’apporter une aide adéquate ! ⁦ https://t.co/PCq4rOPW28",,https://www.twitter.com/user/status/1237693493448974338,1999,2619,45.44
Beto Hanalfa,11.03.20 10:53,"El Gobierno les recomienda a los mayores de 65 años hacer aislamiento voluntario. También les recomienda que vean como se arreglan con el recorte de las jubilaciones. Total, por lo que les queda de vida... 
#Coronavirus",,https://www.twitter.com/user/status/1237693025901559816,1258,3340,226.38
